YTID,Keywords
9MX842-iIuU,Music;Happy music
9McKGpiKI_k,Single-lens reflex camera;Speech
9MfCFePHNdw,"Speech;Crumpling, crinkling;Inside, small room"
9MpnpcCLvtM,Folk music
9Mvg5bcwvRs,Pig;Speech;Animal
9MvouDWFXwk,"Sink (filling or washing);Water tap, faucet;Water"
9NT6gEiqpWA,"Railroad car, train wagon;Train horn;Rail transport;Train"
9N_TJqb8gkU,Zipper (clothing);Music
9Nrh9Fmkhbk,"Subway, metro, underground;Railroad car, train wagon;Rail transport;Train;Train wheels squealing"
9Nw0H-NeX-4,Static
9O2Keu6o3i0,"Beep, bleep;Speech;Microwave oven;Child speech, kid speaking"
9P286DXo8Nk,"Vehicle;Tire squeal;Car;Race car, auto racing"
9P7HzRf3988,"Ratchet, pawl;Pulleys;Mechanisms"
9PMoI31ncIs,Music;Dance music;Exciting music
9PQZSLa_A8A,Harpsichord;Keyboard (musical)
9PSkAJ2eqnY,Rattle (instrument);Rattle
9PXdzAsN-Ss,"Babbling;Speech;Inside, small room"
9Pd12SkMum4,Fire
9PyWiDtI0dw,Sonar;Speech;White noise
9Q1OtQgAWMs,"Chatter;Speech;Inside, public space"
9QYo50tFm6w,Music;Soundtrack music;Happy music
9Qle4fgMbzk,Guitar;Acoustic guitar;Music;Musical instrument;Electronic tuner;Plucked string instrument
9RBzsjga73s,Sampler
9RWKKKiG4_A,"Telephone dialing, DTMF;Telephone;Tick;Speech"
9Ri_DUptMTo,Opera;Speech
9Rx57dlJtIA,Blues;Country;Music
9S0IuxfSmpw,Music;Electronic tuner
9S1BddmLYMA,Sneeze
9S9-smHVvaw,Music;Soul music
9SPW0k3Bqyk,Music;Grunge
9T2ArE50xW4,"Crying, sobbing;Speech"
9TA7XP_PHm0,Busy signal;Music
9Tl2l3bsLpE,Music;Rattle (instrument);Percussion
9Tn8w3kI36Y,Clicking
9TyJBWp_gUA,Flap;Speech
9UCLvFqkFxk,"Brass instrument;Saxophone;Wind instrument, woodwind instrument"
9UCRMbF3egE,Crushing
9UEqvyekXt4,Organ;Hammond organ
9UMqhnu5WpA,Crowd;Battle cry
9UOPRQhNzQ8,Music;Rhythm and blues;Ska
9UP7L34-zus,"Boat, Water vehicle;Waves, surf;Wind;Ocean;Sailboat, sailing ship;Wind noise (microphone)"
9USbtibAN-s,"Speech;Crumpling, crinkling;Inside, small room"
9UanH79U3H4,Sawing;Splinter;Wood
9V7cUY986Ec,Music;Plop;Speech
9VJL-ktypNw,Doorbell
9VTl3KBJPXU,Music;Shout;Speech
9VUjBq2Mt-U,Motorcycle;Skidding;Vehicle;Speech
9VhEJeEQ4yU,Music;Independent music;Soundtrack music
9VwjH2kglAA,"Power windows, electric windows;Vehicle;Car"
9Vy7UgCwEkk,"Propeller, airscrew;Vehicle;Fixed-wing aircraft, airplane"
9W--1bU_zjg,"Boat, Water vehicle;Wind;Ship;Wind noise (microphone)"
9WAK0ufttVQ,Hair dryer
9Wfg4h6CVqo,Rain;Raindrop;Rain on surface
9Whj_3-js9U,Speech;Boing
9WoHIoVmHIA,Squawk
9WzzYYWpeyA,Brass instrument;Clarinet
9XXTW8mZrL0,Splinter;Wood
9XZnMrOH0-c,"Goat;Speech;Livestock, farm animals, working animals;Animal"
9Xeq7cSFppc,Chopping (food)
9XsKaKwCUiw,Yip
9Y5H4t_0dDw,Effects unit;Distortion
9YFQS6Ix-tg,Chant
9YFmBiwFam8,Banjo;Mandolin
9YG2BVRepYQ,Music;Musical instrument;Steelpan
9YMiBYWy8vw,Cowbell
9YYMQCcK8VY,Sneeze;Speech
9YnYlDFKn-U,Scratching (performance technique);Electronic music;Music;Scratch
9Z3NzQcD_Ms,Coin (dropping)
9Z6Q0X60rmo,Brass instrument;Trumpet
9Z7UYez0FUM,Cash register;Speech
9ZBR-dTCPrg,Screaming
9ZDIPNrat7Q,Ding;Clang
9ZGnzX546fA,Clock
9ZHO8OLj8Mg,Bathtub (filling or washing);Water
9ZHb9uNGdhE,Singing;Child singing
9ZLhBqM1GIU,Music;Funny music
9ZUzftiN2uw,Alarm clock;Music;Independent music;Rock music;Alarm
9ZXylB7bgX8,Video game music;Music
9ZbnhpuOoEw,Groan;Speech
9ZwZijSOHtU,"Cash register;Speech;Inside, small room"
9_KKDpvV4i4,Rustling leaves
9_XnJpdB-1M,Chainsaw;Speech
9aj2vwm0GnU,"Bird;Bird vocalization, bird call, bird song;Coo;Pigeon, dove"
9aoLlAc64hQ,Shout;Speech
9avOnbp3NA8,"Speech;Child speech, kid speaking;Crumpling, crinkling;Inside, small room"
9b0eMAf1rXo,"Flap;Vehicle;Car;Outside, urban or manmade"
9bEc6mhrnLI,Screaming
9bIchzOP8PA,Whistling
9bSIyQR9ns8,Yodeling;Music
9bSycck3vkE,String section
9bXaY5f8Ok0,Singing;Music;Ska
9badbJVJ0RA,"Ice cream truck, ice cream van;Vehicle;Speech"
9cCvPng7sZs,Acoustic guitar;Music;Harmonic
9cOXbQSEQ0M,Singing;Music;Opera
9cojCCMSABc,Blues;Music;Pop music
9cyNbQPLWhA,Jingle bell
9d5q16pnFZM,Toothbrush;Electric toothbrush;Speech
9dDJ21ZRElc,Aircraft engine;Aircraft
9dheYccfQWo,Mechanical fan;Speech
9dx9IhSqwC4,Brass instrument;Trombone
9dzNWsw-W58,"Gunshot, gunfire;Machine gun;Cap gun"
9e8e_pl5oGs,Filing (rasp);Rub;Wood
9eY__Y9Zl2Y,"Music;Splash, splatter;Speech"
9e_oy8KyCgU,Sidetone
9ebERNtJ86Q,Single-lens reflex camera;Speech
9fCeKjsSYQs,Biting
9fHjaYUXAXY,"Jingle, tinkle"
9fKEQbSN_vg,Purr
9fWgkD6nYTQ,Zing
9gPLJUHl8Io,Swing music;Music
9gPyrJzct_Q,Tools;Speech;Light engine (high frequency)
9gSOOPDuD4Y,"Wind instrument, woodwind instrument;Flute"
9gfnmVB5q3c,Vibration
9hCnEfZFZ04,Music;Wedding music;Middle Eastern music
9hJigrKndKw,Microwave oven
9i3KpW0OXhA,Crunch
9ipmg9ilx-Q,"Bird;Bird vocalization, bird call, bird song;Coo;Pigeon, dove"
9iwPcdG91yg,Snake
9iyQiuuF_CE,"Gunshot, gunfire;Cap gun"
9j4IROLuOkE,"Boat, Water vehicle;Waves, surf;Ocean;Sailboat, sailing ship"
9j7SlKOpfw0,"Wail, moan;Groan"
9j9rJBXoYVg,Music;Funny music
9jDguGDaxm8,Music;Chorus effect
9jUZDyUOqRg,"Fill (with liquid);Speech;Inside, small room"
9k22J638qjc,Toilet flush;Water
9k9HrSNzM_k,Static
9kKFalYJKmE,Bicycle;Music;Vehicle;Speech
9kLbnqoMy3s,"Railroad car, train wagon;Rail transport;Train;Train wheels squealing"
9kSXjmBeUdI,Clatter;Frying (food)
9kjfu8TUTYk,Explosion;Eruption
9krF2SQUyjU,Blender
9kt7rsziUVQ,Music;Rock music;Progressive rock
9lD1bEZmvzM,"Chewing, mastication"
9lg5Ki-WwH0,Music;Roll
9lrOSagI8as,Wild animals;Music;Speech;Animal
9lyInomv__g,Bouncing;Ping;Speech
9m0tNvskmTc,Music;Rattle (instrument);Bowed string instrument
9mHCbvooMnk,Motor vehicle (road);Field recording;Vehicle;Car
9mKh-VUji5c,Zither;Pizzicato
9mm8Ls28j2E,"Music;Crack;Crumpling, crinkling"
9mqA4YdX444,"Wind instrument, woodwind instrument;Accordion"
9n-7KuMjTN8,"Bird vocalization, bird call, bird song;Environmental noise;Speech;Outside, rural or natural"
9n3eI8HCxm8,"Rodents, rats, mice"
9n8SD0d81ag,"Hands;Inside, small room"
9nVpyqfyBSE,Drum;Drum roll;Rimshot;Snare drum;Percussion
9nYeNrZ4EPY,"Explosion;Burst, pop"
9nb_w3P7iA4,Single-lens reflex camera
9ng2jhBIWgk,Speech;Camera
9npXuzkn0iE,Croak;Frog
9o0Dg9GhEx8,Fusillade
9o7PgwVy_h8,Steam whistle
9o8sSFDAp14,Music;Whoop
9oGVu-J7b-M,"Chewing, mastication;Inside, small room"
9ogEGxsJcSY,Blues;Music
9ohu45KlgYA,Music;Speech;Tender music
9oiSwXk8Nsk,Afrobeat;Music;Rapping;Hip hop music
9oxMZQOS6sE,"Boat, Water vehicle;Wind;Ship"
9p_cncTuSVU,Ping
9pcuvLLUPS8,"Thump, thud"
9pprRV_MQJo,Singing;Music;Roll
9qD1Q8z8MFQ,Whistling
9qLMooHY12Y,Music;Drum machine
9qVi0zy9K3c,Pant;Speech
9q__LUedHbc,Skidding;Vehicle;Car
9qlE2Nj0d78,Sliding door;Speech
9qtSLOFY1Aw,"Domestic animals, pets;Howl;Dog;Growling;Animal"
9rUsEMsdGnU,"Subway, metro, underground;Railroad car, train wagon;Rail transport;Train"
9rVmT_jQlkM,Music;Fireworks
9rgB0wKU1-g,Harp;Pizzicato
9rv7XvAfGOw,Tick-tock;Tick
9rvi7aeLIeM,"Heart sounds, heartbeat;Heart murmur"
9rwfy8B5EB8,Bark;Bow-wow;Dog
9s1FsAilsEo,"Walk, footsteps;Outside, rural or natural"
9sOJvpEBxQM,Speech;Sewing machine
9sQVpi07Jx8,Music;Throat clearing
9sX_nP5VBbA,Video game music;Background music
9sa_1TmY588,Waterfall
9tQWOFqQoIU,Clicking;Speech
9tYJ8G9i5yc,"Rodents, rats, mice"
9tlHzTPksMI,Speech;White noise
9tqxUvjZfNA,Siren;Civil defense siren
9tuMwVh2fhs,Pour;Speech
9tuceHq8HX4,Speech synthesizer
9uSqapjvYrg,Bathtub (filling or washing);Water
9uToez74x_M,Music;Happy music;Exciting music
9udlcVVxlMY,"Bird;Bird vocalization, bird call, bird song;Chirp, tweet;Coo;Pigeon, dove"
9urECCI7_EI,Music;Musical instrument;Theremin
9uyr2cHDfSc,Rustling leaves
9vLYejPyQ4U,"Boat, Water vehicle;Motorboat, speedboat"
9vPg3ePBCPg,Sizzle
9vRBxzrqjlQ,"Scissors;Speech;Inside, small room"
9ww0jrYLgZ8,"Gunshot, gunfire;Artillery fire"
9x1jS5OMuJA,Orchestra
9x7jWb4lE7c,"Guitar;Music;Musical instrument;Electronic tuner;Plucked string instrument;Inside, small room"
9xAEevva1Bc,Clicking;Speech
9xATJGoL-nI,Fart
9xD9JdbVMn8,Pour;Speech
9xDuJoee3bU,"Domestic animals, pets;Whimper;Animal"
9xFXcBNlcqs,"Bicycle bell;Inside, small room"
9xO4zF1fJgA,Applause
9xjDYfAl0ig,"Snicker;Speech;Inside, small room"
9yY9mjvbHEg,"Hubbub, speech noise, speech babble;Speech;Outside, urban or manmade"
9yaibWt53S0,Dog;Growling;Animal
9ytXL68ZCPQ,Sheep;Bleat
9zOzcJmonBw,"Boat, Water vehicle;Motorboat, speedboat"
9zZ2FgxcYpI,"Insect;Mosquito;Fly, housefly"
9ziKfjHWqZ0,Singing;Gospel music;Christian music;Choir;Vocal music;A capella
9zmQwBUFwd4,Music;Rhythm and blues;Speech;Happy music
A-0Ay8G48wo,Hammer
A-7dmBdsFXc,Music;Speech;Scary music
A-E7TsAkUT4,Sneeze
A-bGGHMIiIo,Speech;Typewriter
A09VB0vE1IE,"Domestic animals, pets;Grunt;Dog;Animal"
A0nyd2czzaM,Music;Squeak;Speech
A0wAQLEB43s,Chop;Wood
A1LXWbDIMVQ,Clarinet
A1MF0JXg6UA,Sheep;Bleat
A1ak2lKtjTk,Tubular bells
A1lP4epPr7E,Blender
A1yf7Q7uQkY,"Electric shaver, electric razor;Speech;Outside, urban or manmade"
A23YOimbQaY,Music;Boom
A264Vw5WdY0,Single-lens reflex camera;Speech
A2Iooyicv8Q,Snake
A2UZZWt3QiI,Scrape
A2WdjyKQ57A,Music;Musical instrument;Keyboard (musical);Piano;Classical music
A2bI-MIIJfU,New-age music;Music;Ambient music
A2pgKzeDRqg,Harp;Pizzicato
A2uvHpNLQIg,"Bee, wasp, etc.;Insect;Fly, housefly"
A3Li869kKPU,Hammer
A3S9EpTy02M,"Music;Chuckle, chortle"
A3WrL_VcxsA,Drum and bass;Music;Dubstep;Electronic dance music
A3uHnpjXysE,Vehicle;Speech;Air brake
A3vsvL-Yx0Q,Jazz;Music;Middle Eastern music
A437a4Y_xag,Car alarm
A446kjocnCg,Cymbal;Drum;Drum kit;Hi-hat;Rimshot;Snare drum;Bass drum;Percussion
A4YYd14IWsk,Croak;Frog
A4d6LMzHH48,Techno;Trance music
A4fzBHMMhsw,Coin (dropping)
A4hM0IWnljM,"Thump, thud;Speech"
A4sXDN1fHLo,Hammer
A5HWgcz4RaA,Jingle bell
A5Qj7kiSCjU,Jackhammer
A5fPSkTvjmY,Scratching (performance technique)
A5orLtocLMA,Vacuum cleaner
A6BjDtwRfJ0,Hoot;Owl
A6HJBIU1rD0,Drum;Orchestra;Percussion
A6OwAYxE2x0,Spray
A6Rz-eic_zE,"Dental drill, dentist's drill;Speech;Inside, small room"
A6nJlrHWH7o,Door;Music;Slam;Speech
A7F5i0yASIw,Hammer
A7MEvndl2bo,Chant;Music
A7NFtdX1FbU,Pant;Speech
A7WLWki4CjA,"Chink, clink"
A7fMNwT9eac,"Music;Burst, pop"
A7v7zrZZEjA,Helicopter
A8-9RIidXLo,Breaking
A8CJ4YSsUgs,Singing;Banjo;Music;Mandolin;Pop music
A8ED8Iix7XQ,"Glass;Dishes, pots, and pans;Speech"
A8P5zzHCjJw,Electronic music;Noise
A8YKq6qnv1g,Music;Breaking;Speech
A8hemJIOtdo,String section
A8k8WW1zUtg,Noise;Speech;Power tool
A8sju2x5nhE,Whistling
A8xk5lx7CZw,"Engine;Idling;Accelerating, revving, vroom;Medium engine (mid frequency)"
A908YQUoJLU,Pour;Speech
A96UdAiDxfI,Sine wave;Tuning fork;Chirp tone
A9CI35TGyOo,Rustle
A9e9JZBAIh4,Crack;Speech
AA8qR5FK4j0,"Air horn, truck horn;Vehicle horn, car horn, honking"
AAB0AZGxF6w,Tap;Speech
AAD-o7kW39E,Liquid;Fill (with liquid)
AAEi8dByzyI,"Music;Chink, clink"
AAFsg91kje4,Electronic music;Music;Trance music
AAR8DtMEzCg,Quack;Duck;Speech
AATRh0Nfkno,"Propeller, airscrew;Motorcycle;Vehicle"
AATdlGzJZNw,Horse;Music;Clip-clop;Speech;Animal
AAdfuS_YW3c,Reverberation;Speech
AAfHY3JRgmQ,Jet engine
AAqDGzjatbw,Music;Rattle (instrument)
AB3JPnLZ_Q8,Singing;Chatter
ABC0BukoeRQ,"Trickle, dribble"
ABHBmupT2ok,Music;Musical instrument;Strum
ABVYSaLu_VM,"Electric piano;Music;Musical instrument;Keyboard (musical);Piano;Electronic tuner;Inside, small room"
ABWE9tjTvuI,Funk;Music
ABd5jU8TLB4,Music;Buzz;Dubstep
ABkrpc2QV7Y,"Railroad car, train wagon;Rail transport;Train;Clickety-clack;Train wheels squealing"
ABrN6IY_pfE,Vacuum cleaner
ABs2ECDx-EQ,"Canidae, dogs, wolves;Domestic animals, pets;Speech;Dog;Animal"
ACF0RvXLuWg,Guitar;Acoustic guitar;Music;Musical instrument;Strum;Speech;Plucked string instrument
ACNcxeQ-Rns,Toilet flush;Gargling;Animal
ACRVDkx8Au0,Drawer open or close
ACVaz7n54Eo,"Motorcycle;Accelerating, revving, vroom;Vehicle;Tire squeal;Race car, auto racing"
ACWbGbxw88g,Computer keyboard
ACWpfJFrNJE,Wind chime;Chime
ACXLn7Ztu3k,Music;Tick-tock;Tick
ACm8QhYSQcQ,Crowd;Cheering;Children shouting
ACnNYVsurTE,Basketball bounce;Music
ACtaY0PX6Lk,"Music;Chuckle, chortle;Speech"
AD5Tc2TDCmM,Jazz;Music
ADQDLdfQHco,Banjo;Mandolin
ADjFIZCM-f0,Fart;Speech
ADnh2FcZwLg,"Eruption;Outside, rural or natural"
AE42pBEQ0fU,Music;Crunch
AE4_eiiq7tI,"Chink, clink"
AE5oZzfu2-E,Flamenco
AE9xjrlN_T8,"Propeller, airscrew;Vehicle"
AEGHk8z6Sbc,"Railroad car, train wagon;Train whistle;Rail transport;Train"
AEMzmaMsV9M,Finger snapping;Speech
AEPQ1U4qFUQ,Speech;Children playing
AEVz0KyQDt8,Jet engine
AEYErk0n_-o,Door;Knock;Slam;Speech
AEsAzMOCiy0,Rustling leaves;Speech
AFJ0bxsunTk,"Cutlery, silverware;Dishes, pots, and pans"
AFW2uLc91QA,Zipper (clothing);Speech
AFWy1qyyMHE,Music;Reggae;Soul music
AFY3Mn_j0e8,Car alarm
AFjoHTokpt0,"Air horn, truck horn;Vehicle horn, car horn, honking"
AGCk5McDbng,"Ratchet, pawl;Pulleys;Gears;Mechanisms"
AGHHdzjFNGI,"Music;Toot;Vehicle;Vehicle horn, car horn, honking;Car"
AGSTHhpO1U0,Reversing beeps;Truck;Vehicle;Speech
AGdTIaK5sDk,Vehicle;Helicopter;Speech
AGfOAoOIUkU,Fusillade;Speech
AGyxlgx7DFU,Speech;Boiling
AH00J1t0A2o,"Singing;Music;Shout;Speech;Inside, large room or hall;Inside, public space"
AH6Xnyj6Ykc,Music;Ska
AHWPmxdma-Q,Music;Television;Speech
AHb6Z-g4QQM,Ding-dong;Speech
AHmcuClSTL4,Music;Angry music
AI1RzsszvGM,Gong
AI9P6HoiJy8,Music;Choir
AIMIlhgoYIM,Crowd;Children shouting
AI_3UF5siuA,Fart;Speech
AIthc77KW8w,"Explosion;Burst, pop;Speech"
AJ5QYVaZWp8,"Finger snapping;Outside, urban or manmade"
AJJpDQfnx-Q,Music;Drum machine
AJROvxlmo40,"Music;Speech;Scary music;Inside, small room"
AJTU5RhF3S4,Traditional music;Music;Musical instrument;Accordion
AJm4rjy-yVY,Bird;Squawk;Speech
AJtOE_JSAhw,Music;Groan;Speech
AJzwtVxRLVU,"Boat, Water vehicle;Motorboat, speedboat;Waves, surf;Wind;Ocean"
AK0aZ--9C6g,Knock
AK6S9-rWp-U,Basketball bounce;Music;Speech
AKMuR1-yWAc,Conversation
AKNRlnISKmo,Vacuum cleaner
AKj36GJj_i8,Video game music;Theme music;Music;Soundtrack music
AL-xTyT47d8,Music;Speech;Synthesizer
ALGwFkuKjcM,Music;Bang
ALSQ1tn_OkY,Rustle
ALjgoKbg4h4,Emergency vehicle;Siren;Police car (siren)
AM5rcp75xBE,Music;Salsa music
AMCeEoOgSvc,Music;Steelpan
AMIjyTnWQAM,Noise;Speech
AML-vh5DOVc,Sine wave
AMWBx1516Bc,Skateboard
AM_8JACTDh0,Music;Whoop
AMd1WyLu_XU,Ringtone;Music;Speech
AMiwSqHTAs8,"Music;Ukulele;Inside, large room or hall"
AMlEYu3Qm54,Music;Ambient music
AMso8W3_2mk,Speech;Oink
AN7p0dG601Y,Whispering;Speech
ANEGhfyLvSA,Music;Sitar
ANNgKbPavbY,Hair dryer
ANaaOqwO0Uo,Singing bowl
ANvGzVp_Ti8,"Wind instrument, woodwind instrument;Shofar"
AOBITNYe9Io,String section
AOFRlvrRb_o,Mantra;Music
AOHOietFz0k,Music;A capella
AOHy4Ca9bkw,"Cutlery, silverware;Dishes, pots, and pans"
AOL8Om5Cs8E,Single-lens reflex camera;Camera
AON37kCpOBw,"Burping, eructation;Speech;Inside, small room"
AOS2pveakKg,Noise
AOTHPLM0v_k,Zither;Pizzicato
AOgbZUl0y0A,Music;Middle Eastern music
AOxNGED0RuA,Sheep;Bleat
AP8todOyU78,Rain;Thunderstorm;Thunder;Rain on surface
APLVQSoWj9k,Stomach rumble
APQkPSmLzCM,Carnatic music
APSbmhJam74,Music;Independent music
APYXZHZPCE4,Rain;Thunderstorm;Thunder
APetMMb1Z7M,"Sink (filling or washing);Water tap, faucet;Water"
APgSOmHGSiE,Siren;Civil defense siren
APit6hIABQA,Rumble;Vehicle;Car
AQP3QOPW7_0,"Snoring;Domestic animals, pets;Dog;Animal"
AQTtrao9Wvc,Humming
AQq_en5-zr0,Filing (rasp);Wood
AQsybSUDCiQ,Crackle
AR1ATLH-czY,Whir
ARXTRdKCupM,Bass guitar;Heavy metal;Music;Punk rock;Rock music;Progressive rock
ARXXXMoqKig,Computer keyboard;Typing;Music;Speech
ARaYBPd898A,Heavy engine (low frequency)
ARl3lwUhl_A,Bathtub (filling or washing);Water
ARtRoz6pQMI,Quack;Duck;Speech
ASA0D6rf3RM,"Chewing, mastication;Inside, small room"
ASHHUdJ6tYg,Gong
ASZJ4bES8Kk,Music;Single-lens reflex camera
ASfZSrB3ttk,Bouncing;Ping;Speech
ASgLbz48BaY,Wood block;Percussion
ASh4LxB8vY0,Chop
ASpHEHMNGNY,"Speech;Typewriter;Outside, rural or natural"
ASzOY50Dg38,Shatter
AT8qq_qCiCk,Drum and bass;Music;Dubstep;Electronic dance music
ATAF6Wp31ZE,Glass;Music;Speech
ATDi-irUEWc,Didgeridoo;Speech
AT_076RUWPs,Funk;Music
ATbEwmTJwD0,Ambulance (siren);Emergency vehicle;Siren
ATcJtQMfKQc,Reversing beeps;Truck;Vehicle
ATf3BbIGi6M,"Sigh;Speech;Inside, small room"
ATio6IpLghw,Organ;Electronic organ
ATv4yWqY0N8,Speech;Gush
AU9js4QGUCQ,Speech;Air brake
AUF2dtKGH-o,Afrobeat;Music of Africa;Music;Reggae
AUNK8dJzjLo,Traditional music;Music
AUPmWhim37Y,Music;Rhythm and blues
AUcEDg2iJWg,Vacuum cleaner
AV-A9n7szrI,Glass;Light engine (high frequency)
AV18vFmDXPM,Guitar;Heavy metal;Music;Musical instrument;Plucked string instrument
AV76SZTw6z8,Ambulance (siren);Emergency vehicle;Siren;Police car (siren)
AVH1UWCXkbA,Screaming;Television
AVIplOV78Rw,Fireworks
AVVfOYSmexM,Music;Middle Eastern music;Music of Bollywood
AVbNj9FigS8,Jingle bell
AVogdV8khxc,Singing;Gospel music;Music;Song;Choir
AVsNJgR_K6w,Music;Choir;A capella
AW3agv6wpyw,Chop
AWStoVh8r3s,Zipper (clothing);Speech
AWjbtXIIE54,"Heart sounds, heartbeat;Heart murmur"
AWu1Gy0dajM,Engine;Vehicle;Engine starting
AWvNyjg1xdM,Singing;Banjo;Music;Bluegrass
AX0gK-owIMc,Accordion
AXZZEpGR2Z8,Carnatic music;Music
AXoYmzIVeuo,Whimper;Speech
AXrCD5KNLxQ,Singing;Music;Opera
AYU0Ajfl0RU,Mechanical fan;Speech
AY_sCyNNOZk,"Water tap, faucet;Bathtub (filling or washing);Water"
AY_yCk4eTTI,"Guitar;Acoustic guitar;Music;Musical instrument;Speech;Electronic tuner;Plucked string instrument;Inside, small room"
AYfl-pESfzs,Buzzer;Speech
AYyX_Hj7aSU,Sound effect;Bicycle bell
AZ6WwVRKWV0,"Goat;Livestock, farm animals, working animals;Animal"
AZDQxoDF5lA,"Canidae, dogs, wolves;Howl;Animal"
AZGhqgd9gMk,Disco;Funk;Music
AZL_Zm2UIvw,Music;Dance music
AZO6ch_ocWg,Patter
AZO8sfmpKIQ,Ping;Speech
AZWvTwtpTPY,"Babbling;Chuckle, chortle"
AZuUtYIw5kw,Engine;Jet engine;Train
A_8Ce_kdBs4,Vehicle;Helicopter;Aircraft
A_NkQM85g6Q,Harpsichord;Keyboard (musical)
A_WqrhcgNMM,"Beep, bleep;Speech"
A_Yd5huF2Pg,Organ;Electric piano;Hammond organ;Electronic organ;Keyboard (musical);Piano
A__ad2L5XDc,Crushing
A_gCnyI9LkY,String section;Orchestra
A_vXA058EDY,Printer
A_w4SS2R6LA,"Dental drill, dentist's drill;Speech;Inside, small room"
Aa8lvl6b-iM,"Singing;Music;Shout;Outside, urban or manmade"
AaT0JrbUCkg,Pulse
AaUZb-iRStE,Music;Rock music;Yell
AaVUuKl8294,Bell;Music
AaajkQEU3A0,Guitar;Music;Musical instrument;Ukulele;Plucked string instrument
AafHy3_jyRQ,Siren;Civil defense siren
AagemOzvoZE,Singing;Country;Music
Aai257FTBiQ,"Boat, Water vehicle;Wind;Ship;Wind noise (microphone)"
Aak-VLHtFPM,Brass instrument;Clarinet
AaqfoHudOPI,"Thump, thud;Speech"
AareFwTIg1s,Accordion
Aax8cjFZZ2o,Sliding door;Vehicle;Car
AazEalrc1nE,Singing;Music;Pop music;Rhythm and blues
Ab51oVS98Qo,"Gunshot, gunfire;Machine gun"
Ab8b-FZ_9e8,Door;Sliding door;Speech
AbG_0FORsu4,"Splash, splatter;Speech"
AbNB97ANUDA,Gargling
AbWy9LUeDGE,Noise;Pink noise
AblzVPbAyUg,Whispering;Speech
Abq_eNnRaXc,"Smash, crash"
Ac2qvDbXmoY,Jet engine;Heavy engine (low frequency)
AcIe0CzLg60,Television;Speech
AcO38gxUdoo,Motor vehicle (road);Skidding;Vehicle;Car
AcYTVEdlGE4,Glass
AcYmsXCjF0k,Singing;Music;Opera
AchH6Qd0htw,Bicycle;Vehicle;Speech
Ad3cReOBK48,Sine wave;Chirp tone
Ad5hx94slMU,Video game music;Music;Soundtrack music
Ad7eEJyLcyw,Tubular bells
AdTSpfTB0C8,Car alarm
Add11iatg0Y,"Doorbell;Music;Speech;Inside, small room"
Ade0UZnb6dw,Blues;Music;Dance music
Adwe0AR0tRw,Coin (dropping)
AeBtC5LMsIc,Snake
AeLvUayUxy0,Waterfall
AeWRWWba3z4,"Boat, Water vehicle;Waves, surf;Wind;Ocean;Ship;Wind noise (microphone)"
AeXpy3nQbW0,Gong
AehuCjMsKUs,Zing
AemcWVbB2zI,"Glass;Chink, clink"
Af1h4ibpKJA,Theme music;Music;Speech
AfFbqm-j4AA,Jingle (music);Music
Afmp32GPijM,Sigh
AfuX5dXSUE8,Busy signal;Music
AgJH6Ul1EFg,Music;Sad music
AgLm7rSg5JA,"Gunshot, gunfire;Cap gun"
AgRd-3NwxCM,Christmas music;Music
Agi5ySKb1tY,Typewriter
AgiVUUy1uIs,Music;Synthetic singing
AgtjkahTVVw,Stomach rumble
Ah304Vt9l9U,Engine knocking;Engine;Idling
AhObH_gupBE,"Biting;Inside, small room"
AhOkbJFYv_Y,Flamenco;Music;Speech
Ahs54oWjuUo,Turkey;Fowl;Gobble
Ai3n8czRId8,Arrow
AiGF0850kT8,Music;Clapping
AiGGDpbgp6I,Reverberation;Guitar;Music;Musical instrument;Plucked string instrument
AiQoXi32QIA,"Toot;Truck;Vehicle;Vehicle horn, car horn, honking;Car"
AiT4seZGR2w,Radio;Speech
Aj5LEacM4aI,Music;Zing;Spray
AjDRLmZVHjI,Tick-tock;Tick
AjHS7UZbW74,Speech;Sewing machine;Light engine (high frequency)
AjL9vvmfSsw,Music;Skateboard;Speech
Aj_pcXRx8Pw,Whir
AjxTxv06KNU,"Bee, wasp, etc.;Insect;Fly, housefly"
Ak4Ld5mMqVI,Clip-clop;Speech
AkHaDKuiE_s,Cowbell;Drum;Rimshot;Snare drum;Percussion
AkMDZYZraRo,Firecracker;Music;Fireworks
AkWEga9gUIQ,"Smoke detector, smoke alarm;Door"
AkbCw7oVkw0,Music;Tender music
Akg1n9IWSrw,Cymbal;Drum;Hi-hat;Rimshot;Snare drum;Bass drum;Percussion
Akx3uwhohmU,Screaming;Speech
Al2qQMp2RUA,"Fire engine, fire truck (siren);Emergency vehicle;Siren;Police car (siren)"
AlI7_vIYjro,Wind chime;Chime
AlVr7-ntuqw,Brass instrument;Trombone
AlbnLVv3tpY,House music
Alu9CCZUQ7g,Giggle
AmF2OyiHLP4,Music;Yell
AmGaTVVPQL0,"Sigh;Speech;Inside, small room"
AmJ3gQTMWAY,Rattle
AmMeqzVMPRc,Motorcycle;Idling;Vehicle
AmP1CbovFcs,Alarm clock
AmQiS7H-d9M,"Music;Steel guitar, slide guitar"
AmVx9Qy86r4,Music;Television;Speech
AmjOw_qq0mY,Mains hum;Hum;Static
AmoaUQ8MIQ8,Clarinet
AmyTCJlaz2g,"Electric shaver, electric razor;Speech"
AnCseeXiaho,Busy signal;Music;Speech
AnSgRexnP64,Singing;Music;Opera
